province_state,country_region,confirmed,deaths,recovered,active,lat,lon,date,new_confirmed,new_recovered,new_deaths,total_infect,deaths_rate,country_pop2018,perc_ctry_cnfrm,perc_ctry_rcvrd,perc_ctry_dead,perc_pop_infect,day_virus
Guizhou,China,3,0,0,0,26.8154,106.8748,2020-01-23,-2,0,0,3,0,1400812636,0.00004562,0.00000214,0.00000128,0.00000021,2
Hainan,China,5,0,0,0,19.1959,109.7453,2020-01-23,2,0,0,5,0,1400812636,0.00004562,0.00000214,0.00000128,0.00000036,2
Hebei,China,1,1,0,0,38.0428,114.5149,2020-01-23,-4,0,1,2,50,1400812636,0.00004562,0.00000214,0.00000128,0.00000014,2
Heilongjiang,China,2,0,0,0,47.862,127.7615,2020-01-23,1,0,-1,2,0,1400812636,0.00004562,0.00000214,0.00000128,0.00000014,2
Henan,China,5,0,0,0,33.882,113.614,2020-01-23,3,0,0,5,0,1400812636,0.00004562,0.00000214,0.00000128,0.00000036,2
Hubei,China,444,17,28,0,30.9756,112.2707,2020-01-23,442,28,17,489,3.476482617586912,1400812636,0.00004562,0.00000214,0.00000128,0.00003491,2
Hunan,China,9,0,0,0,27.6104,111.7088,2020-01-23,-435,-28,-17,9,0,1400812636,0.00004562,0.00000214,0.00000128,0.00000064,2
Inner Mongolia,China,0,0,0,0,44.0935,113.9448,2020-01-23,-9,0,0,0,0,1400812636,0.00004562,0.00000214,0.00000128,0.00000000,2
Jiangsu,China,5,0,0,0,32.9711,119.455,2020-01-23,5,0,0,5,0,1400812636,0.00004562,0.00000214,0.00000128,0.00000036,2
Jiangxi,China,7,0,0,0,27.614,115.7221,2020-01-23,2,0,0,7,0,1400812636,0.00004562,0.00000214,0.00000128,0.00000050,2
Jilin,China,1,0,0,0,43.6661,126.1923,2020-01-23,-6,0,0,1,0,1400812636,0.00004562,0.00000214,0.00000128,0.00000007,2
Liaoning,China,3,0,0,0,41.2956,122.6085,2020-01-23,2,0,0,3,0,1400812636,0.00004562,0.00000214,0.00000128,0.00000021,2
Ningxia,China,1,0,0,0,37.2692,106.1655,2020-01-23,-1,0,0,1,0,1400812636,0.00004562,0.00000214,0.00000128,0.00000007,2
Qinghai,China,0,0,0,0,35.7452,95.9956,2020-01-23,-1,0,0,0,0,1400812636,0.00004562,0.00000214,0.00000128,0.00000000,2
Shaanxi,China,3,0,0,0,35.1917,108.8701,2020-01-23,3,0,0,3,0,1400812636,0.00004562,0.00000214,0.00000128,0.00000021,2
Shandong,China,6,0,0,0,36.3427,118.1498,2020-01-23,3,0,0,6,0,1400812636,0.00004562,0.00000214,0.00000128,0.00000043,2
Shanghai,China,16,0,0,0,31.202,121.4491,2020-01-23,10,0,0,16,0,1400812636,0.00004562,0.00000214,0.00000128,0.00000114,2
Shanxi,China,1,0,0,0,37.5777,112.2922,2020-01-23,-15,0,0,1,0,1400812636,0.00004562,0.00000214,0.00000128,0.00000007,2
Sichuan,China,8,0,0,0,30.6171,102.7103,2020-01-23,7,0,0,8,0,1400812636,0.00004562,0.00000214,0.00000128,0.00000057,2
Tianjin,China,4,0,0,0,39.3054,117.323,2020-01-23,3,0,0,4,0,1400812636,0.00004562,0.00000214,0.00000128,0.00000029,2
Tibet,China,0,0,0,0,31.6927,88.0924,2020-01-23,-4,0,0,0,0,1400812636,0.00004562,0.00000214,0.00000128,0.00000000,2
Washington,US,1,0,0,0,47.4009,-121.4905,2020-01-23,1,0,0,1,0,327274411,0.00000031,0,0,0.00000031,2
Xinjiang,China,2,0,0,0,41.1129,85.2401,2020-01-23,1,0,0,2,0,1400812636,0.00004562,0.00000214,0.00000128,0.00000014,2
Yunnan,China,2,0,0,0,24.974,101.487,2020-01-23,0,0,0,2,0,1400812636,0.00004562,0.00000214,0.00000128,0.00000014,2
Zhejiang,China,27,0,0,0,29.1832,120.0934,2020-01-23,25,0,0,27,0,1400812636,0.00004562,0.00000214,0.00000128,0.00000193,2
NA,Japan,1,0,0,0,36,138,2020-01-23,-26,0,0,1,0,126529100,0.00000079,0,0,0.00000079,2
NA,Thailand,3,0,0,0,15,101,2020-01-23,2,0,0,3,0,69428524,0.00000432,0,0,0.00000432,2
NA,Korea,1,0,0,0,36,128,2020-01-23,-2,0,0,1,0,77185075,0.0000013,0,0,0.0000013,2
NA,Singapore,1,0,0,0,1.2833,103.8333,2020-01-23,0,0,0,1,0,5638676,0.00001773,0,0,0.00001773,1
NA,Philippines,0,0,0,0,13,122,2020-01-23,-1,0,0,0,0,106651922,0,0,0,0,1
NA,Malaysia,0,0,0,0,2.5,112.5,2020-01-23,0,0,0,0,0,31528585,0,0,0,0,1
NA,Vietnam,2,0,0,0,16,108,2020-01-23,2,0,0,2,0,95540395,0.00000209,0,0,0.00000209,1
